Test,AnimalID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),NE : time (s),NE : distance (m),NE : average speed (m/s),NW : time (s),NW : distance (m),NW : average speed (m/s),SE : time (s),SE : distance (m),SE : average speed (m/s),SW : time (s),SW : distance (m),SW : average speed (m/s),Island : distance to first entry (m),Island : latency to first entry (s),Thigmitaxis : time (s),Thigmitaxis : distance (m),Thigmitaxis : average speed (m/s),Diet,Sex,Age (months)
426,250530_25,,,Day4,4,MWM_150,12/18/2025,13.9,0.991,0.071,0,0,,0,0,,4.5,0.468,0.105,9.4,0.523,0.055,0.95,8.9,0,0,,HFD,M,13
427,250530_26,,,Day4,4,MWM_150,12/18/2025,13.4,0.606,0.045,0,0,,0,0,,0,0,,13.4,0.606,0.045,0.499,8.4,0,0,,HFD,M,13
428,250530_27,,,Day4,4,MWM_150,12/18/2025,60,9.436,0.157,6,1.279,0.212,13.2,2.227,0.169,16.6,2.731,0.165,24.2,3.198,0.132,,,12,1.421,0.119,HFD,F,11
429,250530_28,,,Day4,4,MWM_150,12/18/2025,17.1,1.813,0.106,0,0,,0,0,,2.5,0.397,0.157,14.6,1.416,0.097,1.734,12.1,0,0,,HFD,F,11
430,250530_29,,,Day4,4,MWM_150,12/18/2025,60,7,0.117,9.3,1.474,0.159,17.3,1.265,0.073,24.6,3.28,0.133,8.2,0.895,0.109,,,33.3,1.794,0.054,HFD,F,11
431,250530_30,,,Day4,4,MWM_150,12/18/2025,13.1,0.763,0.058,0,0,,0,0,,0,0,,13.1,0.763,0.058,0.728,8,0,0,,HFD,F,11
432,250530_31,,,Day4,4,MWM_150,12/18/2025,60,9.668,0.161,16.3,2.336,0.143,7.6,1.555,0.204,20.3,3.047,0.15,15.3,2.634,0.172,,,27.8,4.242,0.152,HFD,F,11
433,250530_1,,,Day5,1,MWM_150,12/19/2025,27,3.98,0.148,1.1,0.267,0.251,3.3,0.692,0.21,10,1.869,0.186,12.6,1.151,0.092,3.98,21.9,0,0,,HFD,M,12
434,250530_2,,,Day5,1,MWM_150,12/19/2025,15.3,1.785,0.117,0,0,,3.8,0.805,0.21,0,0,,11.4,0.98,0.086,1.785,10.2,0,0,,HFD,M,12
435,250530_3,,,Day5,1,MWM_150,12/19/2025,13.1,1.411,0.108,1.2,0.231,0.192,0.9,0.177,0.197,4.1,0.764,0.188,6.9,0.238,0.035,1.411,8,0,0,,HFD,M,11
436,250530_4,,,Day5,1,MWM_150,12/19/2025,6.5,0.198,0.03,0,0,,0,0,,0,0,,6.5,0.198,0.03,0.12,1.5,0,0,,HFD,M,11
437,250530_5,,,Day5,1,MWM_150,12/19/2025,15.4,1.663,0.108,0,0,,0,0,,4.3,0.799,0.184,11,0.863,0.078,1.588,10.3,0,0,,HFD,M,11
438,250530_6,,,Day5,1,MWM_150,12/19/2025,10.8,0.708,0.066,0,0,,0,0,,0,0,,10.8,0.708,0.066,0.67,5.7,0,0,,HFD,M,11
439,250530_8,,,Day5,1,MWM_150,12/19/2025,16.7,1.596,0.096,0,0,,0,0,,2.4,0.4,0.169,14.3,1.196,0.083,1.526,11.6,0,0,,HFD,F,12
440,250530_9,,,Day5,1,MWM_150,12/19/2025,30.7,3.396,0.111,2.7,0.392,0.147,1.4,0.236,0.168,10.7,1.708,0.16,15.9,1.06,0.067,3.396,25.6,0,0,,HFD,F,12
441,250530_11,,,Day5,1,MWM_150,12/19/2025,60,7.145,0.119,3.7,0.714,0.195,13,1.35,0.104,9.9,1.324,0.133,33.4,3.758,0.112,,,31,3.182,0.103,HFD,M,12
442,250530_12,,,Day5,1,MWM_150,12/19/2025,15.4,0.733,0.048,0,0,,0,0,,0,0,,15.4,0.733,0.048,0.695,10.3,1.4,0.075,0.054,HFD,M,12
443,250530_13,,,Day5,1,MWM_150,12/19/2025,5.8,0.103,0.018,0,0,,0,0,,0,0,,5.8,0.103,0.018,,0.7,0,0,,HFD,M,11
444,250530_14,,,Day5,1,MWM_150,12/19/2025,10.8,0.413,0.038,0,0,,0,0,,0,0,,10.8,0.413,0.038,0.375,5.7,0,0,,HFD,M,11
445,250530_15,,,Day5,1,MWM_150,12/19/2025,18.1,1.416,0.078,0.2,0.044,0.19,4.1,0.432,0.105,1.3,0.238,0.188,12.5,0.702,0.056,1.379,13,0,0,,HFD,F,12
446,250530_16,,,Day5,1,MWM_150,12/19/2025,9.5,0.478,0.05,0,0,,0,0,,0,0,,9.5,0.478,0.05,0.441,4.5,1.5,0.096,0.065,HFD,F,12
447,250530_18,,,Day5,1,MWM_150,12/19/2025,6.7,0.149,0.022,0,0,,0,0,,0,0,,6.7,0.149,0.022,0.116,1.7,0,0,,HFD,F,12
448,250530_19,,,Day5,1,MWM_150,12/19/2025,42.7,6.464,0.152,10.2,1.818,0.179,2.1,0.448,0.21,14.3,2.48,0.174,16.1,1.718,0.107,6.427,37.6,11,1.927,0.175,HFD,F,11
449,250530_20,,,Day5,1,MWM_150,12/19/2025,10.9,0.746,0.069,0,0,,0.3,0.037,0.111,0,0,,10.5,0.709,0.067,0.679,5.8,0,0,,HFD,F,11
450,250530_21,,,Day5,1,MWM_150,12/19/2025,27.2,2.927,0.108,6,0.829,0.137,0.6,0.076,0.12,11.2,1.515,0.135,9.3,0.508,0.054,2.892,22.1,0,0,,HFD,F,11
451,250530_22,,,Day5,1,MWM_150,12/19/2025,8.3,0.306,0.037,0,0,,0,0,,0,0,,8.3,0.306,0.037,0.306,3.3,0,0,,HFD,F,8
452,250530_23,,,Day5,1,MWM_150,12/19/2025,47.1,8.037,0.171,11.9,2.41,0.203,4.7,0.896,0.189,11.8,2.235,0.189,18.6,2.497,0.134,8.037,42,3.3,0.516,0.156,HFD,M,15
453,250530_25,,,Day5,1,MWM_150,12/19/2025,46,6.326,0.137,1.9,0.432,0.223,8.9,1.144,0.128,8.9,1.506,0.169,26.3,3.245,0.124,6.326,40.9,13.4,0.985,0.074,HFD,M,13
454,250530_26,,,Day5,1,MWM_150,12/19/2025,17.4,0.849,0.049,0,0,,0,0,,1.8,0.067,0.037,15.6,0.782,0.05,0.783,12.3,0.7,0,0,HFD,M,13
455,250530_27,,,Day5,1,MWM_150,12/19/2025,6.8,0.084,0.012,0,0,,0,0,,0,0,,6.8,0.084,0.012,0.045,1.7,0,0,,HFD,F,11
456,250530_28,,,Day5,1,MWM_150,12/19/2025,12.2,0.565,0.046,0,0,,0,0,,0,0,,12.2,0.565,0.046,0.453,7.2,0,0,,HFD,F,11
457,250530_29,,,Day5,1,MWM_150,12/19/2025,60,3.699,0.062,0,0,,0,0,,13.4,1.173,0.088,46.6,2.526,0.054,,,45.9,1.912,0.042,HFD,F,11
458,250530_30,,,Day5,1,MWM_150,12/19/2025,16.3,1.227,0.075,0,0,,2.7,0.308,0.115,3.6,0.307,0.085,10,0.612,0.061,1.227,11.2,0,0,,HFD,F,11
459,250530_31,,,Day5,1,MWM_150,12/19/2025,60,9.307,0.155,22.6,3.047,0.135,5.2,1.129,0.219,8.7,1.853,0.212,23.5,3.277,0.14,,,27.6,4.128,0.15,HFD,F,11
460,250530_1,,,Day5,2,MWM_150,12/19/2025,8.5,0.574,0.067,0,0,,0,0,,1.9,0.332,0.175,6.6,0.241,0.036,0.497,3.5,0,0,,HFD,M,12
461,250530_2,,,Day5,2,MWM_150,12/19/2025,16.6,2.27,0.136,0.5,0.102,0.191,0,0,,5.3,1.013,0.19,10.8,1.155,0.107,2.229,11.6,0,0,,HFD,M,12
462,250530_3,,,Day5,2,MWM_150,12/19/2025,12,1.211,0.101,0,0,,0,0,,3.4,0.643,0.187,8.6,0.568,0.066,1.173,7,0,0,,HFD,M,11
